FID_1,Location,Date,Set Type,Song Order,Song,Show_num,STATE_ABBR
415,"Los Angeles, CA",6/11/2022,First Set,1,Let the Good Times Roll,1,CA
415,"Los Angeles, CA",6/11/2022,First Set,2,Playin in the Band,1,CA
415,"Los Angeles, CA",6/11/2022,First Set,3,Feel Like a Stranger,1,CA
415,"Los Angeles, CA",6/11/2022,First Set,4,China Doll,1,CA
415,"Los Angeles, CA",6/11/2022,First Set,5,Brown Eyed Women,1,CA
415,"Los Angeles, CA",6/11/2022,First Set,6,Jack Straw,1,CA
415,"Los Angeles, CA",6/11/2022,First Set,7,Casey Jones,1,CA
415,"Los Angeles, CA",6/11/2022,Second Set,8,Althea,1,CA
415,"Los Angeles, CA",6/11/2022,Second Set,9,Scarlet Begonias,1,CA
415,"Los Angeles, CA",6/11/2022,Second Set,10,China Cat Sunflower,1,CA
415,"Los Angeles, CA",6/11/2022,Second Set,11,I Know You Rider,1,CA
415,"Los Angeles, CA",6/11/2022,Second Set,12,Fire on the Mountain,1,CA
415,"Los Angeles, CA",6/11/2022,Second Set,13,Drums,1,CA
415,"Los Angeles, CA",6/11/2022,Second Set,14,Space,1,CA
415,"Los Angeles, CA",6/11/2022,Second Set,15,Dear Mr. Fantasy,1,CA
415,"Los Angeles, CA",6/11/2022,Second Set,16,Hey Jude Reprise,1,CA
415,"Los Angeles, CA",6/11/2022,Second Set,17,Stella Blue,1,CA
415,"Los Angeles, CA",6/11/2022,Second Set,18,One More Saturday Night,1,CA
415,"Los Angeles, CA",6/11/2022,Encore,19,Werewolves of London,1,CA
452,"Mountain View, CA",6/13/2022,First Set,1,St. Stephen,2,CA
452,"Mountain View, CA",6/13/2022,First Set,2,William Tell Bridge,2,CA
452,"Mountain View, CA",6/13/2022,First Set,3,The Eleven,2,CA
452,"Mountain View, CA",6/13/2022,First Set,4,Shakedown Street,2,CA
452,"Mountain View, CA",6/13/2022,First Set,5,Big Railroad Blues,2,CA
452,"Mountain View, CA",6/13/2022,First Set,6,Friend of the Devil,2,CA
452,"Mountain View, CA",6/13/2022,First Set,7,Crazy Fingers,2,CA
452,"Mountain View, CA",6/13/2022,First Set,8,Don't Ease Me In,2,CA
452,"Mountain View, CA",6/13/2022,Second Set,9,Deal,2,CA
452,"Mountain View, CA",6/13/2022,Second Set,10,Dark Star,2,CA
452,"Mountain View, CA",6/13/2022,Second Set,11,El Paso,2,CA
452,"Mountain View, CA",6/13/2022,Second Set,12,Sing Me Back Home,2,CA
452,"Mountain View, CA",6/13/2022,Second Set,13,Uncle John's Band,2,CA
452,"Mountain View, CA",6/13/2022,Second Set,14,Drums,2,CA
452,"Mountain View, CA",6/13/2022,Second Set,15,Space,2,CA
452,"Mountain View, CA",6/13/2022,Second Set,16,Cumberland Blues,2,CA
452,"Mountain View, CA",6/13/2022,Second Set,17,Death Don't Have No Mercy,2,CA
452,"Mountain View, CA",6/13/2022,Second Set,18,Sugar Magnolia,2,CA
452,"Mountain View, CA",6/13/2022,Encore,19,Ripple,2,CA
452,"Mountain View, CA",6/14/2022,First Set,1,Cassidy,3,CA
452,"Mountain View, CA",6/14/2022,First Set,2,Bird Song,3,CA
452,"Mountain View, CA",6/14/2022,First Set,3,Dire Wolf,3,CA
452,"Mountain View, CA",6/14/2022,First Set,4,When I Paint My Masterpiece,3,CA
452,"Mountain View, CA",6/14/2022,First Set,5,Tennessee Jed,3,CA
452,"Mountain View, CA",6/14/2022,First Set,6,Here Comes Sunshine,3,CA
452,"Mountain View, CA",6/14/2022,First Set,7,US Blues,3,CA
452,"Mountain View, CA",6/14/2022,Second Set,8,Cold Rain and Snow,3,CA
452,"Mountain View, CA",6/14/2022,Second Set,9,Estimated Prophet,3,CA
452,"Mountain View, CA",6/14/2022,Second Set,10,Eyes of the World,3,CA
452,"Mountain View, CA",6/14/2022,Second Set,11,Terrapin Station,3,CA
452,"Mountain View, CA",6/14/2022,Second Set,12,Drums,3,CA
452,"Mountain View, CA",6/14/2022,Second Set,13,Space,3,CA
452,"Mountain View, CA",6/14/2022,Second Set,14,The Wheel,3,CA
452,"Mountain View, CA",6/14/2022,Second Set,15,Standing on the Moon,3,CA
452,"Mountain View, CA",6/14/2022,Second Set,16,Not Fade Away,3,CA
452,"Mountain View, CA",6/14/2022,Encore,17,Brokedown Palace,3,CA
661,"Boulder, CO",6/17/2022,First Set,1,Bertha,4,CO
661,"Boulder, CO",6/17/2022,First Set,2,Good Lovin,4,CO
661,"Boulder, CO",6/17/2022,First Set,3,New Speedway Boogie,4,CO
661,"Boulder, CO",6/17/2022,First Set,4,Smokestack Lightning,4,CO
661,"Boulder, CO",6/17/2022,First Set,5,Mr. Charlie,4,CO
661,"Boulder, CO",6/17/2022,First Set,6,Ramble On Rose,4,CO
661,"Boulder, CO",6/17/2022,First Set,7,They Love Each Other,4,CO
661,"Boulder, CO",6/17/2022,First Set,8,High Time,4,CO
661,"Boulder, CO",6/17/2022,First Set,9,Let it Grow,4,CO
661,"Boulder, CO",6/17/2022,Second Set,10,Sugaree,4,CO
661,"Boulder, CO",6/17/2022,Second Set,11,Truckin,4,CO
661,"Boulder, CO",6/17/2022,Second Set,12,Viola Lee Blues,4,CO
661,"Boulder, CO",6/17/2022,Second Set,13,Althea,4,CO
661,"Boulder, CO",6/17/2022,Second Set,14,Other One,4,CO
661,"Boulder, CO",6/17/2022,Second Set,15,Drums,4,CO
661,"Boulder, CO",6/17/2022,Second Set,16,Space,4,CO
661,"Boulder, CO",6/17/2022,Second Set,17,Other One V2,4,CO
661,"Boulder, CO",6/17/2022,Second Set,18,Wharf Rat,4,CO
661,"Boulder, CO",6/17/2022,Second Set,19,Lovelight,4,CO
661,"Boulder, CO",6/17/2022,Encore,20,Casey Jones,4,CO
661,"Boulder, CO",6/18/2022,First Set,1,China Cat Sunflower,5,CO
661,"Boulder, CO",6/18/2022,First Set,2,I Know You Rider,5,CO
661,"Boulder, CO",6/18/2022,First Set,3,He's Gone,5,CO
661,"Boulder, CO",6/18/2022,First Set,4,Brown Eyed Women,5,CO
661,"Boulder, CO",6/18/2022,First Set,5,Foolish Heart,5,CO
661,"Boulder, CO",6/18/2022,First Set,6,It Hurts Me Too,5,CO
661,"Boulder, CO",6/18/2022,First Set,7,Lost Sailor,5,CO
661,"Boulder, CO",6/18/2022,First Set,8,Saint of Circumstance,5,CO
661,"Boulder, CO",6/18/2022,Second Set,9,Dear Mr. Fantasy,5,CO
661,"Boulder, CO",6/18/2022,Second Set,10,Hey Jude Reprise,5,CO
661,"Boulder, CO",6/18/2022,Second Set,11,Help on the Way,5,CO
661,"Boulder, CO",6/18/2022,Second Set,12,Slipknot,5,CO
661,"Boulder, CO",6/18/2022,Second Set,13,Franklin's Tower,5,CO
661,"Boulder, CO",6/18/2022,Second Set,14,Drums,5,CO
661,"Boulder, CO",6/18/2022,Second Set,15,Space,5,CO
661,"Boulder, CO",6/18/2022,Second Set,16,Milestones,5,CO
661,"Boulder, CO",6/18/2022,Second Set,17,All Along the Watchtower,5,CO
661,"Boulder, CO",6/18/2022,Second Set,18,GDTRFB,5,CO
661,"Boulder, CO",6/18/2022,Second Set,19,Morning Dew,5,CO
661,"Boulder, CO",6/18/2022,Encore,20,Terrapin Station,5,CO
661,"Boulder, CO",6/18/2022,Encore,21,One More Saturday Night,5,CO
3296,"Maryland Heights, MO",6/21/2022,First Set,1,Music Never Stopped,6,MO
3296,"Maryland Heights, MO",6/21/2022,First Set,2,Alabama Getaway,6,MO
3296,"Maryland Heights, MO",6/21/2022,First Set,3,Mississippi Half Step,6,MO
3296,"Maryland Heights, MO",6/21/2022,First Set,4,Jack Straw,6,MO
3296,"Maryland Heights, MO",6/21/2022,First Set,5,Easy Wind,6,MO
3296,"Maryland Heights, MO",6/21/2022,First Set,6,Black Throated Wind,6,MO
3296,"Maryland Heights, MO",6/21/2022,First Set,7,Bird Song,6,MO
3296,"Maryland Heights, MO",6/21/2022,Second Set,8,Box of Rain,6,MO
3296,"Maryland Heights, MO",6/21/2022,Second Set,9,Scarlet Begonias,6,MO
3296,"Maryland Heights, MO",6/21/2022,Second Set,10,Playin in the Band,6,MO
3296,"Maryland Heights, MO",6/21/2022,Second Set,11,Uncle John's Band,6,MO
3296,"Maryland Heights, MO",6/21/2022,Second Set,12,Playing Reprise,6,MO
3296,"Maryland Heights, MO",6/21/2022,Second Set,13,Fire on the Mountain,6,MO
3296,"Maryland Heights, MO",6/21/2022,Second Set,14,Drums,6,MO
3296,"Maryland Heights, MO",6/21/2022,Second Set,15,Space,6,MO
3296,"Maryland Heights, MO",6/21/2022,Second Set,16,Hell in a Bucket,6,MO
3296,"Maryland Heights, MO",6/21/2022,Second Set,17,Black Peter,6,MO
3296,"Maryland Heights, MO",6/21/2022,Second Set,18,US Blues,6,MO
3296,"Maryland Heights, MO",6/21/2022,Encore,19,Ripple,6,MO
2382,"Cincinnati, OH",6/22/2022,First Set,1,Let the Good Times Roll,7,OH
2382,"Cincinnati, OH",6/22/2022,First Set,2,Cold Rain and Snow,7,OH
2382,"Cincinnati, OH",6/22/2022,First Set,3,Iko Iko,7,OH
2382,"Cincinnati, OH",6/22/2022,First Set,4,Ship of Fools,7,OH
2382,"Cincinnati, OH",6/22/2022,First Set,5,Big River,7,OH
2382,"Cincinnati, OH",6/22/2022,First Set,6,Here Comes Sunshine,7,OH
2382,"Cincinnati, OH",6/22/2022,First Set,7,Cassidy,7,OH
2382,"Cincinnati, OH",6/22/2022,Second Set,8,Deal,7,OH
2382,"Cincinnati, OH",6/22/2022,Second Set,9,Looks Like Rain,7,OH
2382,"Cincinnati, OH",6/22/2022,Second Set,10,St. Stephen,7,OH
2382,"Cincinnati, OH",6/22/2022,Second Set,11,William Tell Bridge,7,OH
2382,"Cincinnati, OH",6/22/2022,Second Set,12,The Eleven,7,OH
2382,"Cincinnati, OH",6/22/2022,Second Set,13,Shakedown Street,7,OH
2382,"Cincinnati, OH",6/22/2022,Second Set,14,Drums,7,OH
2382,"Cincinnati, OH",6/22/2022,Second Set,15,Space,7,OH
2382,"Cincinnati, OH",6/22/2022,Second Set,16,I Need A Miracle,7,OH
2382,"Cincinnati, OH",6/22/2022,Second Set,17,Death Don't Have No Mercy,7,OH
2382,"Cincinnati, OH",6/22/2022,Second Set,18,Sugar Magnolia,7,OH
2382,"Cincinnati, OH",6/22/2022,Encore,19,Black Muddy River,7,OH
63,"Chicago, IL",6/24/2022,First Set,1,"Man Smart, Women Smarter",8,IL
63,"Chicago, IL",6/24/2022,First Set,2,Eyes of the World,8,IL
63,"Chicago, IL",6/24/2022,First Set,3,Bertha,8,IL
63,"Chicago, IL",6/24/2022,First Set,4,Next Time You See me,8,IL
63,"Chicago, IL",6/24/2022,First Set,5,Dark Star,8,IL
63,"Chicago, IL",6/24/2022,First Set,6,Dear Mr. Fantasy,8,IL
63,"Chicago, IL",6/24/2022,First Set,7,Hey Jude Reprise,8,IL
63,"Chicago, IL",6/24/2022,First Set,8,Althea,8,IL
63,"Chicago, IL",6/24/2022,Second Set,9,Throwin Stones,8,IL
63,"Chicago, IL",6/24/2022,Second Set,10,Brown Eyed Women,8,IL
63,"Chicago, IL",6/24/2022,Second Set,11,Estimated Prophet,8,IL
63,"Chicago, IL",6/24/2022,Second Set,12,Dark Star (Second Verse),8,IL
63,"Chicago, IL",6/24/2022,Second Set,13,Sing Me Back Home,8,IL
63,"Chicago, IL",6/24/2022,Second Set,14,Truckin,8,IL
63,"Chicago, IL",6/24/2022,Second Set,15,Drums,8,IL
63,"Chicago, IL",6/24/2022,Second Set,16,Space,8,IL
63,"Chicago, IL",6/24/2022,Second Set,17,All Blues,8,IL
63,"Chicago, IL",6/24/2022,Second Set,18,Cumberland Blues,8,IL
63,"Chicago, IL",6/24/2022,Second Set,19,Stella Blue,8,IL
63,"Chicago, IL",6/24/2022,Second Set,20,Not Fade Away,8,IL
63,"Chicago, IL",6/25/2022,First Set,1,Scarlet Begonias,9,IL
63,"Chicago, IL",6/25/2022,First Set,2,The Wheel,9,IL
63,"Chicago, IL",6/25/2022,First Set,3,New Speedway Boogie,9,IL
63,"Chicago, IL",6/25/2022,First Set,4,Big Railroad Blues,9,IL
63,"Chicago, IL",6/25/2022,First Set,5,Dancing in the Streets,9,IL
63,"Chicago, IL",6/25/2022,First Set,6,Tennessee Jed,9,IL
63,"Chicago, IL",6/25/2022,First Set,7,Sugaree,9,IL
63,"Chicago, IL",6/25/2022,Second Set,8,Casey Jones,9,IL
63,"Chicago, IL",6/25/2022,Second Set,9,Ramble On Rose,9,IL
63,"Chicago, IL",6/25/2022,Second Set,10,Help on the Way,9,IL
63,"Chicago, IL",6/25/2022,Second Set,11,Slipknot,9,IL
63,"Chicago, IL",6/25/2022,Second Set,12,Franklin's Tower,9,IL
63,"Chicago, IL",6/25/2022,Second Set,13,Drums,9,IL
63,"Chicago, IL",6/25/2022,Second Set,14,Space,9,IL
63,"Chicago, IL",6/25/2022,Second Set,15,Days Between,9,IL
63,"Chicago, IL",6/25/2022,Second Set,16,Fire on the Mountain,9,IL
63,"Chicago, IL",6/25/2022,Second Set,17,One More Saturday Night,9,IL
63,"Chicago, IL",6/25/2022,Encore,18,Brokedown Palace,9,IL
63,"Chicago, IL",6/25/2022,Encore,19,Touch of Grey,9,IL
301,"Noblesville, IN",6/28/2022,First Set,1,Viola Lee Blues,10,IN
301,"Noblesville, IN",6/28/2022,First Set,2,Loose Lucy,10,IN
301,"Noblesville, IN",6/28/2022,First Set,3,Row Jimmy,10,IN
301,"Noblesville, IN",6/28/2022,First Set,4,Friend of the Devil,10,IN
301,"Noblesville, IN",6/28/2022,First Set,5,They Love Each Other,10,IN
301,"Noblesville, IN",6/28/2022,First Set,6,Other One,10,IN
301,"Noblesville, IN",6/28/2022,First Set,7,Don't Ease Me In,10,IN
301,"Noblesville, IN",6/28/2022,Second Set,8,Lost Sailor,10,IN
301,"Noblesville, IN",6/28/2022,Second Set,9,Saint of Circumstance,10,IN
